2;;mzgoL_aoIdb, dAU_yAdb ;aPb aoIdb ; hOdoQn lMbi lMlANb asi mzgoL aoIdb TOdoCni hAIn lOnY;adjective
3;;czlCtr_ib, czqCtr_ib, yOsiLlCtr_ib ;kriguMb mPM amd KoQ TAQjiLlCp aoIdr_ib ; mnuQd czlCtr_ib atiTisiQ adu yAMn TunmC mnuQd czhLlClo;adjective
4;;aseQb_mPM ;miyAMn seQqi hAIn lOnb mPM ; hiNdusiQgidmCtdi kAsi asi aseQb mPM amni;noun
5;;mhAdebgi_lAIsz ;BgbAN sibgi mitM KiNdun IrAxlib mPM ; mhAC niQTOkAb KudiQgi mhAdeb KuruMb mhAdebgi lAIszd cxli;noun
6;;seQdb_mPM ;Pxt-hOdi, amox-akAI lYPM ; lAIniQ lAIsoNgi mtuQ INn asuMn TAjnY mdudi tMnrAIdi seQdb mPMsiQd lY;noun
7;;arACp, lAClib, lAC-Ib, KoQdArib ;kriguMb mPM amd TuQlrb aoIb ; arACp misiQbu trAMn aoCU;adjective
8;;poClb, tAIbzpANd_KoQdArb ;tAIbz mpoC am lOrb ; poClb jibsiQdi sib hAIbsi  soIdr_bni;adjective
9;;miyAMgi_yAIPnb_TbC ;miyAMn yAb TbC ; miyAMgi yAIPnb TbC tObn KuNnAIbu cAUKxhLli;noun
10;;hOb, coQKxlCp, TiNgxlCp ;pAMbin lYbACtgi mTCloMd INKxlCp ; BArxt hOb cA mpAL lMd mrAQ kAIn TAdoCI;adjective
11;;Pxtb_lMcx, Pxtb_sAjx ;KuuNnAI amsuQ miyAMn yAdb lMcx aoIb ; Pxtb lMcxtgi lAFToCkdbni;noun
12;;aPAU_sAb, mi_Usixtb, sC_tAKxp, PutAni_tOb ;msA mTNt poQjb ; sy_AMgi pAbuQ pulist TbC tOI adun mhAC aPAU sAribni;noun
13;;aox-nYb, miaox_minY ;atoFpd akN-ariQ siQdun awAb pibgi TbC ; BArx mcAsiQd br_itissiQn yAMn aox-nYb tOrMmi;noun
14;;wAToC, wAToC-lANToC ;msAgi apAMbbu mniQ mKA tOn sijiNnbdgi ToClCp asoIb ; hOjiCki mtMddi loIsz KudiQmCt wAToC ToCtunt lY;noun
15;;BitAmiN ;cAnb poxlMsiQd yAUb hCcAQd kANnb pib mcL am ; BitAmiNgi mKL truC lY;noun
16;;aPb_lMcx, aPb_sAjx, PidMniQqAI_aoIb_lMcx, PidMniqAI_aoIb_lMcx, PidMniQqAI_aoIb_sAjx, PidMniqAI_aoIb_sAjx ;KuNnAI amsuQ miyAMn yAb lMcx ; aPb lMcxn miaoIbbu aToIb aoIhLli;noun
17;;mniQ_tOb_mtO, pztO_tOb_mtO ;atoFpn pAMdr_bsu msAgi apAMbgi mtuQ INn TbC tObgi maoQ ; mhACki mniQ tOb mtO mPM asid yAroI;noun
18;;Pxtb_TbC ;cxn-loNcxki wAQmd tYb TbC ; Pxtb midi mtM lYb KibiCt Pxtb TbCtd puCniQ luFtun lY;noun
19;;hwAI-ceQwAI, hwAI_ceQwAI, mru-mrAQ, mru_mrAQ ;hwAInciQb pAMbi Krdgi Pzb cAb yAb mhY ; sy_AM mru-mrAQ lLloNb misCni;noun
20;;cAnb_poxlM, acA-_aTC, acA_aTC ;mhi nxtr_g mpz aoIb pox msin hCcAQd pAQgL pi amsuQ cAUb heNgxhLli ; KuQgzg cAQdMnbd yuMPALsiQddi cAnb-polMsiQ yAMn tAQqi;noun
21;;KuxloIb_wAxlb, Kux_loIdr_ib, Kux_loIdb ;kriguMb TbC am tObd hYnb wAxlib aoIb ; KuxloIb wAxlb rAmu TbC Pzdr_e;adjective
22;;hYb_wAxlib, hY-siQdr_ib_, hYToI-siQToIdr_ib, niQTin_hYtr_ib, hYPAxtr_ib ;Kzb-hYb yAUdr_ib aoIb ; hYb wAxlib sANnroIsiQnsu yAMn Pjb KuxsANn Uxli;adjective
