1;NULL;NULL NULL
2;अशुभ, अमांगलिक, अमङ्गल, अहित, अनिष्ट, बिमंगल, बिमङ्गल, अपाय़-अमंगल;यिटो शुभ नहय़  मेकुৰीय़े ৰास्ता काटिले अशुभ बुलि धৰा हय़
3;अनुपस्थित, अप्रबिष्ट;यिजन प्रबिष्ट होৱा नाइ  अनुपस्थित अतिथिसकलक शीघ्रे भितৰलै आहिबलै कोৱा हʼल
4;पৱित्र स्थान, पुण्य भूमि, पुण्य स्थल;यि स्थानक पৱित्र बुलि गण्य कৰा हय़  हिन्दु सकलৰ बाबे काशी एक पৱित्र स्थान
5;NULL;NULL NULL
6;अपৱित्र स्थान, अपूण्यभूमि, अपৱित्र स्थली;यि स्थान पৱित्र नहय़  धार्मिक मान्यता आछे ये भूत-प्रेत अपৱित्र स्थानबोৰतेइ थाके
7;समागत, आगत, हाजिৰ, उपागत, उपस्थित;यि आहि पाइछे  समागत लोकसकलक स्बागतम जनाओक
8;जन्मा, जात, उपजात, प्रसूत, जनित, प्रजात, संबृत्त, सञ्जात, सम्भूत, उॎपन्न;यि जन्म हय़  जन्माजनৰ मृत्यु निश्चित
9;नैतिक कार्य, सॎकर्म, ्भाल काम, सुकृत्य, सुकर्म;एने कार्य यि नीतिसिद्ध हय़  नैतिक कार्यৰ ्द्बाৰाइहे आमि समाजৰ उत्थान कৰिब पाৰो
10;उॎपादन, उॎपन्न, ओपजा;यिहৰ  उॎपत्ति हैछे  भाৰतत उॎपादन होৱा बेछिभाग चाह बिदेशलै ৰप्तानि कৰा हय़
11;चৰित्रहीनता, दुश्चৰित्रता, दुৰाचाৰिता, अनाचाৰिता;दुश्चৰित्र होৱाৰ भाब बा अৱस्था  चৰित्रहीनताৰ पৰा बाचि थका उचित
12;उग्रता, उद्धतता, आकोৰगोजालि;आकोৰगोज बा उग्र होৱाৰ भाৱ  श्यामৰ देउताक पुलिचत थका बाबे बৰ उग्रता देखाय़
13;अत्याचाৰ, अन्याय़, पीड़न, उॎपीड़न, निपीड़न, नि्र्यातन नि्र्य्यातन, उपद्रৱ, उॎपात, शोषण, निष्पेषण, अन्याय़-अत्याचाৰ, अत्याचाৰ-उॎपीड़न;आनৰ लगत बलपूर्ब््कभाৱे कৰा अनुचित ब्यৱहाৰ याৰ काৰणे तेओँৰ बहुत कष्ट हय़  इंৰाजे भाৰतीय़ जनताৰ ओपৰत बहुत अत्याचाৰ कৰिछिल
14;गोलमाल, घोटाला, गण्डगोल, बिशृङ्खला, अब्यৱस्था, घमघण्ट;जानि-बुजि बा आकोৰगोज मनोभाबৰ पৰा जन्म होৱा बा अपटु काৰणत होৱा खेलिमेलि  आजिकालि प्राय़बोৰ बिभागते किबा किबा नहय़ किबा गोलमाल थाकेइ
15;भिटामिन, खाद्यप्राण, अन्नसाৰ;साधाৰणते खाद्यबस्तुत पोৱा योৱा एबिध पोषक तत्त्ब  भिटामिन छय़ प्रकाৰৰ आछे
16;सॎचৰित्रता, सद्चৰित्रता, सदाचाৰिता, सदाचाৰ;भाल चৰित्रৰ  सॎचৰित्रताइ मानुहक महान कৰे
17;मइमतालि, स्बेच्छाचाৰ, स्बैৰाचाৰ, यथेच्छाৰिता;आने निबिचाৰिलेओ निजৰ इच्छानुसৰि कोनो काम आदि कৰा बा कৰोৱा कार्य  तोमाৰ मइमतालि इय़ात नचलिब
18;दुष्कर्म, कुकर्म, ्पापकर्म, ्बेय़ा काम, अनैतिक कार्य, अपकर्म;एने कार्य यि नीति बिৰुद्ध हय़  असाधु ब्यक्ति सदाय़ दुष्कर्मतेइ लिप्त थके
19;शस्य, अनाज;गुल्मजातीय़ उद्भिदৰ पৰा उॎपन्न होৱा बीज बा दाना यि खाद्य हिचापे ब्यৱहाৰ कৰा हय़  श्यामे शस्यৰ बेपाৰ कৰे
20;खाद्यबस्तु, खाद्य बस्तु, खाद्य सामग्री, खोৱा बस्तु, अन्नबस्तु, खाद्य पदार्थ;खोৱा कामत ब्यৱहाৰ कৰा बस्तु यिय़े शৰीৰक शक्ति दिय़े आৰु इय़ाৰ बिकाश घटाय़  गाँৱৰ तुलनात चहৰत खाद्यबस्तुৰ दाम बेछि
21;अनुभৱहीन, ्केँच्ा चिन्ताधाৰा;अनुभৱ नथका बा चिन्ताৰ गभीৰता कम थका  अनुभৱहीन होৱा काৰणे ৰामुৱे चाकৰिटो नापाले
22;नबीन, तৰुण, नबागत, नतुन;यि प्रबीण नहय़  नबीन खेलुৱैसकलेओ भाल खेल प्रदर्शन कৰिछे
23;अयोग्य, अनुपयुक्त, योग्यहीन, अनुपयोगी, अलाय़क, गड़लाय़क, जलधा;यिजन योग्य नहय़  प्रबन्धकगৰाकीय़े अयोग्य लोकसकलक संस्थाৰ पৰा उलिय़ाइ दिले
24;बाघिनी, माइकी बाघ;बाघৰ माइकी  जाति  गुৰु ৰामदासৰ पेटৰ असुख भाल कৰिबलै भक्त शिৱाजीय़े बाघिनीৰ गाखीৰ आनिले / माइकी बाघৰ खं बेछि
25;नशिकाৰु, नतुन, नतुन शिकाৰु, नৱ शिकाৰु, नतुनकै शिका, असिद्ध, अनभ्यस्त, अपৰिपक्क, अपैणत;यिजने कोनो काम एइमात्रहे शिकिछे  एइ कामटो नतुन मानुहेओ कৰिब पाৰे
26;अलगर्ध;यि भाल धৰणे काम कৰाৰ ৰीति नाजाने  तुमि ्अलगर्धৰ निचिनाकै काम किय़ कৰा?
27;मूर्ख, बुर्बक, मूৰुख, बुद्धिहीन, अबोध, निर्बोध, भोदा, दगधा, गोटगৰु, अहम्मक;याৰ बुद्धि नाइ बा बुद्धि कम  मूर्खइ ्अबाबत तर्क कৰे
28;अप्रचलित, पुৰणिकलीय़ा, प्रचलनहीन, नचला, अब्यৱहृत, पुৰातन;यिटो प्रचलित नहय़  तुमि सदाय़ अप्रचलित साज-पोछाकेइ किय़ पिन्धा ?
29;निपुण, दक्ष, सिद्धहस्त, पार्गत, प्रबीण, पाकैत, अभ्यस्त, बिचक्षण, पाৰङ्गत, पৰिपक्क, अभिज्ञ, पटु, पका, पक्क, कुशल, कार्यकुशल;कोनो काम कৰाৰ बाबे यिजन बिशेषभाৱे योग्य  अर्जुन धनुबिद्यात निपुण आछिल
30;योग्य, उपयुक्त, समर्थ, ् यथायोग्य, यथार्थ, ठिक, यथायथ, उचित, यथोचित, युगुत, समुचित, समीचीन, संगत;यि कोनो काम कৰिबৰ बाबे समर्थ  एइ कामटोৰ काৰणे एजन योग्य ब्यक्तिৰ आৱश्यक/ चाकৰिटोৰ बाबे उपयुक्त प्रार्थी  निर्बाचित नहʼल
31;भद्र, सभ्य, शिष्ट, मार्जित, ৰुचिबान, भब्य, पৰिशीलित, पৰिमार्जित;यिजने उन्नत आचाৰ-ब्यৱहाৰ अनुसৰण कৰे आৰु भाल मानुहৰ दৰे ब्यৱहाৰ कৰे  भद्र मानुहे सन्मान पाय़ / ৰाम एजन सभ्य ब्यक्ति
32;भाल, सॎ, उत्तम;यिजन भाल गुणৰ अधिकाৰी बा याৰ काम आदिৰ द्बाৰा आनৰ मङ्गल साधन हय़  पृथीৱीत भाल मानुह एतिय़ाओ कमि योৱा नाइ
33;नৰखादक, मानुह खोৱा;यिय़े मानुह भक्षण कৰे बा यिय़े मानुहक निजৰ आहाৰ हिचापे ग्रहण कৰे  चिकाৰीय़े नৰखादक बाघिनीजनीलै निचान टोৱाले
34;NULL;NULL NULL
35;अनाथ;यिजनৰ लालन-पालन कৰिबलै कोनो नाइ  श्यामे गोटेइ जीৱनटो अनाथ शिशुৰ चोৱा-चिता कৰि पाৰ कৰि दिले
36;असहाय़, आश्रय़हीन, निःसहाय़, अनाश्रित, निৰाश्रय़, अनाथ, सम्बलहीन;यिजनक सहाय़ कৰिबलै कोनो नाइ  सुৰेन्द्रदेৱे असहाय़ लोकक सहाय़ कৰि थाके
37;पितृहीन, पितृहाৰा, पिताहाৰा, पितृबिहीन, बापेक नाइकिय़ा;यिजनৰ देउताक नाइ  पितृहीन शिशु केतिय़ाबा कुपथे पৰिचालित हय़
38;अर्ह््ताहीन, अर्ह््ताशून्य;याৰ ओचৰत अर्ह््ताৰ अभाৱ बा कोनो अर्ह््ता नाइ  चৰकाৰे अर्ह््ताहीन ब्यक्तिৰ काৰणे दक्षता योगोৱाৰ प्रय़ास चलाय़ आछे
39;NULL;NULL NULL
40;शिय़ाली, माइकी शिय़ाल;शिय़ाल जातिৰ माइकी  जंघलत एजनी शिय़ालीय़े निजৰ पोৱालिक गाखीৰ खुৱाइ आछिल
41;ससहाय़, सहाय़क थका;याৰ सहाय़ कৰिबलै कोनोबा आछे  ससहाय़ लोके आनৰ सहाय़ कৰा उचित
42;मातृहाৰा, मातृहीन, माताहीन, माक नाइकिय़ा;याৰ माक नाइ  महाजन सৰुतेइ मातृहाৰा हैछिल
43;अर्ह््ता सम्पन्न, अर्ह््तापूर्ण, अर्ह््तायुक्त;याৰ ओचৰत कोनो अर्ह््ता आछे  अर्ह््ता सम्पन्न ब्यक्ति समाजৰ बिकाशৰ काৰणे सहाय़कस्बৰूप
44;अपमान, तिৰस्काৰ, अनादৰ, अৱज्ञा, अৱमानना, असन्मान, अश्रद्धा, उपेक्षा, अৱहेला, अपदस्थ;यि कथा बा कामे काৰोबाৰ मान बा प्रतिष्ठा हानि कৰे  आमि काको अनाहकत अपमान कৰा उचित नहय़
45;अशिष्टता, अभद्रता, अशालीनता;अशिष्ट होৱा अৱस्था  अशिष्टताइ मानुहक जन्तुत पৰिणत कৰे
46;सन्मान, मान, आदৰ, समादৰ, मर्यादा, इज्जत, सम्भ्रम, कदৰ;काৰोबाक उद्देश्यि कोनो कथा कओँते बा कोनो काम कৰोते तेओँ सन्तोषित बा सन्मानित होৱा अৱस्था  माक-देउताकक सन्मान कৰिब लागे / स्थान हेৰाले मान हेৰाय़
47;भगৱान, ईश्बৰ, प्रभु, बिधाता, पৰमपिता, दय़ामय़, सृष्टि्कर्ता, पৰमब्रह्म, जगदीश, ्अन्तर्यामी, भुৱनेश्बৰ, कৰुणामय़, नेदेखाजना, ओपৰৰजना, जगजीৱ, मंगलमय़, ्सर्बमङ्गलमय़, ्सनातन, बिभु, धाता, बिधातापुৰुष, जगदीश्बৰ, जगॎपिता, जगॎपति, ्जगॎकर्ता, जगतस्रष्टा, जगजीउ, पৰमेश्बৰ, पৰाॎपৰ, इच्छामय़, पৰमात्मा, त्रिजगतपति, त्रिलोकपति, पৰमानन्द, निय़न्ता, चिन्तामणि, भबेश, निৰाकाৰ;धर्म ् ग्रन्थৰ द्बाৰा स्बीकृत एक सर्ब्बोच्च सत्ता, यि सृष्टिৰ गৰाकी  भगৱान सकलोते आछे / ईश्बৰ सर्बमंगलमय़
48;नामहीन, बेनाम, नामबिहीन;नाम बिहीन बा याৰ कोनो नाम नाथाके  ৰामुৱे अनाथ आश्रमৰ पৰा एटि नामहीन शिशुक तुलि लʼले
49;NULL;NULL NULL
50;नामৰ, नामधाৰी;नामৰ बा नामयुक्त  प्राचीन कालत अयोध्यात ৰघु नामৰ ৰजाइ ৰाजत्ब कৰिछिल
51;हठाॎ, तॎक्षणाॎ, अकस्मात, घपहकै, चेৰेंकৰे, अतर्किते, खपकৰे, आचम्बिते, खचकै, भुटुंकৰे;आगेय़े नजनाकै!  घৰৰ पৰा ओलाओँतेइ हठाॎ एजाक बৰषुण आहिल / तॎक्षणात बानपानीय़े गाँओखन बुৰाइ पेलाले
52;आलासते, अनाय़ासे, अप्रय़ासे, बिना पৰिश्रमे;एको प्रय़ास बा चेष्टा नकৰाकै  आलासते कोनो काम नहय़
53;यत्नसहकाৰे, यत्नपूर्बक;यत्नৰ सैते  यिकोनो काम यत्नसहकाৰे कৰा
54;उन्मोचन, उन्मुक्तकৰण, प्रकटकৰण;कोनो बस्तु, कथा आदिৰ पৰा आৱৰण आँतৰोৱा कार्य  गृहमन्त्रीय़े गान्धीजीৰ प्रतिमूर्तिटो उन्मोचन कৰिले
55;NULL;NULL NULL
56;NULL;NULL NULL
57;उद्घाटन, उद्बोधन;कोनो डाङৰ समाৰोह, सन्मिलन आदिৰ महत्त्ब आৰु गौৰৱ बृद्धि कৰिबलै कोनो बिख्यात ब्यक्तिৰ द्बाৰा सेइ कार्यৰ  ् शुभाৰम्भ कৰा  एइ बिश्बबिद्यालय़खनৰ उद्घाटन ৰाष्ट्रपति महोदय़े कৰिब
58;NULL;NULL NULL
59;ৰहस्योद्घाटन, ৰहस्य उद्घाटन, ৰहस्यभेद;कोनो ৰहस्यৰ उद्घाटन कৰा कार्य  नेताजी सुभाष चन्द्र बसुৱे हठाॎ मृत्युक साबटि लोৱाৰ ৰहस्योद्घाटन आजिओ नहʼल
60;अब्यৱस्थित, ब्यৱस्थाहीन;यिटोৰ ब्यৱस्था कৰा होৱा नाइ  श्यामे अब्यৱस्थित कोठाटो थिक-थाक कৰि आछे
61;स्बेच्छाचाৰी, लेकाम नाइकिय़ा, निৰङ्कुश, बाधाहीन, स्बेच्छाकृत, कुण्ठाৰहित;याৰ कोनो निय़न्त्रण बा बाधा नाइ  हिटलाৰ एजन स्बेच्छाचाৰी शासक आछिल
