1;अजन्मा, अजात, अज, अनागत, अयोनि, जन्मरहित, जन्मशून्य़
2;अशुभ, अमङ्गळ, अनिष्ट, अरिष्ट
3;अप्रबिष्ट
4;पबित्रस्थान, पुण्य़भूमि, पुण्य़स्थळ
5;शिब_मन्दिर, शिबाळय़, शिबाय़तन, महादेब_मन्दिर
6;अपबित्र_स्थान, अपुण्य़भूमि, अपबित्रस्थळी
7;आगत, समागत
8;जन्मित, जीबित, सृष्ट, जात, संजात, प्रसूत
9;नैतिक_कार्य्य़, सत्_कर्म, सुकर्म, भलकाम, साधुकर्म, आच्छाकाम
10;उत्पन्न, सृष्ट, जात, चाषकरायाइथिबा
11;दुश्चरित्रता, चरित्रहीनता, अनाचारिता
12;फुटाणि, अहंकार, गर्ब, उद्धतामि, रुक्षता, औद्धत्य़
13;अत्य़ाचार, अनाचार, अन्य़ाय़, जुलुम्
14;हेरफेर, दुर्नीति, गोळमाळ, गण्डगोळ, घोटाला
15;भिटामिन्, खाद्य़सार, खाद्य़प्राण
16;सच्चरित्रता, सच्चरितता
17;स्ୱेच्छाचार, मनमानी, अबाध्य़
18;दुष्कर्म, मन्दकर्म, पापकर्म, अपकर्म, अकर्म, अनैतिक_कर्म
19;खाद्य़शस्य़, अन्न, शस्य़, धान
20;खाद्य़बस्तु, खाद्य़पदार्थ, खाद्य़पदार्थ, आहार, खाद्य़, भोज्य़_पदार्थ, आहार_पदार्थ, अन्न, अर्क, आहार
21;अभिज्ञताहीन, अनभिज्ञ, अनुभबरहित, अभिज्ञताबिहीन
22;अनिपुण, अप्रबीण, अकुशळी, अदक्ष, अनाड़ि, अपटु
23;अयोग्य़, अनुपयुक्त, अपारग, असमर्थ, अपदार्थ
24;बाघुणी, माई_माघ
25;नूआशिखाळि, नब_शिक्षित, नब_प्रशिक्षित, नबीण
26;असभ्य़, अढ़ंगिआ, अढ़ङ्गिआ
27;मूर्ख, मूढ़, अबोध, पामर, अळ्पबुद्धि
28;अप्रचळित, अब्य़बहृत, आउटड़ेटेड़्, आउट_अफ्‌_डेट्‌
29;प्रबीण, कुशळी, सिद्धहस्त, पटु, पक्का, बिचक्षण
30;योग्य़, उपयुक्त, समर्थ
31;भद्र, सभ्य़, सुशिक्षित, शाळीन, शीळ, सुशीळ, शिष्ट
32;भल, बढ़िआ, उत्तम
33;नरभक्षी, नरभक्षक, मानबभक्षक
34;नबरत्न
35;अनाथ, छेउँण्ड, असहाय़, आश्रय़हीन, पितृमातृहीन
36;असहाय़, अबलम्बनहीन, निःसहाय़, अनाथ
37;पितृहीन, पितृबिहीन, पिताहीन
38;साधनहीन
39;सनाथ
40;शिआळी, माई_बिलुआ, शृगाळी, शिबा
41;सहाय़ता_युक्त, सहाय़क_युक्त, ससहाय़
42;मातृहीन, माआछेउण्ड, माआहीन, मातृबिहीन, माताहीन, माताबिहीन
43;साधन_संपन्न, साधन_युक्त, साधन_पूर्ण
44;असम्मान, अमान्य़, अबज्ञा, अमर्य्य़ादा, मर्य्य़ादाहानि, अनादार, बेखातिर
45;अशिष्टता, अभद्रता, असभ्य़ता, अशाळीनता
46;सम्मान, मान्य़, मर्य्य़ादा, आदर, समादार, खातिर
47;सर्बब्य़ापी, समस्तङ्क_रक्षक, आदिकर्त्ता, आदिकारण, भबधारण, अन्तर्य्य़ामी, ईश्ୱर, इश, बिभु, भगबान, सर्बरक्षक
48;परिचय़हीन, नामहीन, अनाम
49;दिब्य़शक्ति, दिब्य़सत्ता, सर्बशक्ति
50;नामक, नामधारी, नाम्नी, नामरे
51;अचानक, हठात्‌, अगत्य़ा
52;अनाय़ास, परिश्रम_बिना, बिना_परिश्रम, प्रयत्नहीन
53;प्रयत्नपूर्बक, आय़ाससहित, प्रयत्नक
54;अनाबरण
55;काञ्चन, काञ्चन_गछ
56;काञ्चन_फुल, काञ्चन
57;उद्‌घाटन
58;कम्पोष्ट_खत, कम्पोष्ट
59;रहस्य़ोद्‌घाटन, रहस्य़_प्रकाशन, रहस्य़_प्रकटन, रहस्य़_प्रघटन
60;असजड़ा, ब्य़बस्थाहीन, अब्य़बस्थित
61;निरङ्कुश, बाधाहीन, स्ୱच्छन्द, यथेच्छाचारी, अप्रतिद्ୱन्दी, अप्रतिबद्ध
62;अन्धानुकरण, अन्धानुसरण, अन्धानुगमन
63;अनुकूळता, सपक्षता, सहाय़ता, अबिरुद्धता, अबिरोधिता
64;दय़ाळुता, सहृदय़ता, कृपाळुता, दय़ाशीळता, करुणामय़ता
65;संगतता, सङ्गतता, सम्बन्ध, यौक्तिकता, सामञ्जस्य़ता, उपयुक्तता
66;मेळ, सामञ्जस्य़, समता, सादृश्य़, ताळ-मेळ
67;आरम्भ, प्रारम्भ, श्रीगणेश
68;नग्नता, नङ्गळा, लङ्गळा, खोला, बस्त्रहीनता
69;ककारादि, क_ठारु_ह_पर्य्य़न्त
70;कअँळिआ_पत्र, कअँळ_पत्र, कअँळ_पतर, कोमळ_पत्र
71;स्पष्टता
72;गोपनीय़ता, गुप्तता, गुह्य़ता, गोप्य़ता
73;भाब
74;प्रतिकूळता, प्रतिपक्षता, बिरुद्धता, बिपक्षता, बिरोधिता, बैपरीत्य़
75;सद्‌गुण, भलगुण, गुण, भलपण
76;रक्तदान, रक्तप्रदान, रुधिरदान
77;बिसङ्गति, असङ्गति, असङ्गतता, बिसङ्गतता
78;मिळन, मेळ, संयोग, समन्ୱय़
79;असामञ्जस्य़ता, सामञ्जस्य़हीनता
80;छोट_भाइ, सान_भाइ, अनुज
81;भाइ, भ्राता, भ्रात, सहोदर
82;बड_भाइ, भाइ, अग्रज, ज्य़ेष्ठ_भ्राता, नना, भाइना, दादा
83;फेल्‌, अकृतकार्य्य़, अनुतीर्ण्ण
84;उत्तीर्ण्ण, पास्‌
85;अनुपस्थित, अणहाजिर
86;उपस्थित, हाजिर, बिद्य़मान
87;बोतल
88;बर्त्तमान, साम्प्रतिक, एहि_समय़
89;अनुपात, हार
90;कज्ज्ୱळलगा, कज्ज्ୱळ_पूरित, कज्ज्ୱळभरा, कज्ज्ୱळाय़ित, कज्ज्ୱळा
91;सर्त्त, बुझामणा, निष्पत्ति, राजिनामा, अनुबन्ध
92;बुझामणा, मसुधा
93;ठिका
94;मुलचाल, सउदा
95;दाय़ित्ୱ, भार, ठिका
96;बेपार, बणिज, बेपार-बाणिज्य़, ब्य़बसाय़
97;अनुभब, भाब, ज्ञात
98;स्मृति, खिआल, अतीत_कथा
99;ज्ञान, तथ्य़, प्रतीति, बुद्धि
100;अनुभबी, जणाशुणा
101;भुक्तभोगी, अनुभबी, भोगी
102;अभुक्तभोगी
103;अनुभूति, अनुभब
104;मनोभाब, मानसिक_भाब, चित्तबृत्ति, मनोबृति
105;अनुमति, अनुज्ञा, आज्ञा, स्ୱीकृति
106;स्ୱीकृति, मंजुरी, अंगीकार
107;अनुमान, अन्दाज, अटकळ
108;कळ्पना, खिआल, भाबना, कळ्पनाशक्ति
109;अनुमोदन, समर्थन
110;अनुमोदन
111;बिरोध, प्रतिरोध
112;उभय़चर
113;आसक्त, मुग्ध, मोहित
114;निष्ठाबान
115;कामिका, परिश्रमी, उद्य़ोगी
116;गुप्तदान, अज्ञातदान
117;भक्ति
118;अनेक, एकाधिक, बहु, बिबिध, नाना
119;आलोकमण्डळ, प्रभामण्डळ, आभामण्डळ
120;प्रेम, ममत्त्ୱ, अनुराग, राग, अनुरञ्जन
121;स्नेह, प्रेम, ममता
122;समरूपी, प्रतिरूपी, अनुरूपी
123;अनुसारे, मुताबिक
124;नारङ्गी
125;अनुरोध
126;समय़ातिक्रान्त
127;निबेदन, अनुनय़, बिनति, बिनय़, प्रार्थना, याचना, अनुरोध
128;याचिका, अनुरोध_पत्र, अर्जी, आबेदन
129;अनुबाद, भाषान्तर
130;अनुदित_कृति, अनुबादित_कृति, भाषान्तरित_कृति
131;ब्य़ाख्य़ा, अनुबाद, बाख्य़ाकरण, अर्थकरण, भाबबिस्तार
132;बदळ_बेपार, बिनिमय़_बेपार, नेणदेण_बेपार, बार्टार
133;कामआरम्भ, कार्य्य़आरम्भ, कार्य्य़ारम्भ
134;धर्मकर्म, धार्मिककाम, धार्मिककार्य्य़, धार्मिककृत्य़, अनुष्ठान, इष्टपूर्त्ति
135;मङ्गळोत्सब, शुभोत्सब, माङ्गळिक_कार्य्य़क्रम
136;यज्ञकर्म, यजन, यज्ञ_अनुष्ठान
137;संकळ्प_करिबा, ब्रत_करिबा, शपथ_करिबा
138;अनुसन्धान, अन्ୱेषण, गबेषणा, परिशीळन, अनुशीळन, अनुसन्धित्सा, शोध
139;आबिष्कार, अन्ୱेषण
140;अनुकृत, अनुसृत, मौळिकहीन, अमौळिक
141;बिचार, बिबेचना, चिन्ता, चिन्तन, मनन
142;घृणा, बितृष्णा, जुगुप्सा
143;बैराग्य़, बिराग, उदासीनता, निबृत्त, उच्चाट
144;भिन्नरूपी, अलगा_प्रकार, अन्य़रूपी
145;अनुदित, अनुबादित, भाषान्तरित, भाषातंरित
146;मौळिक_कृति, मौळिक_रचना, मूळ_कृति
147;खबर, संबाद, समाचार, संदेश
148;साहितिक्य़_कृति, रचना, साहितिक्य़_रचना
149;स्पष्टीकरण
150;क्रिय़ा, क्रिय़ापद
151;आरम्भ, आदि, प्रारम्भ, अय़मारम्भ
152;एकताहीन, असङ्गठित, सङ्गठनहीन
