1;NULL;NULL;NULL;NULL
2;mzgoL aoIdb, dAU yAdb ;aPb aoIdb ; hOdoQn lMbi lMlANb asi mzgoL aoIdb TOdoCni hAIn lOnY;adjective
3;czlCtr ib, czqCtr ib, yOsiLlCtr ib ;kriguMb mPM amd KoQ TAQjiLlCp aoIdr ib ; mnuQd czlCtr ib atiTisiQ adu yAMn TunmC mnuQd czhLlClo;adjective
4;aseQb mPM ;miyAMn seQqi hAIn lOnb mPM ; hiNdusiQgidmCtdi kAsi asi aseQb mPM amni;noun
5;mhAdebgi lAIsz ;BgbAN sibgi mitM KiNdun IrAxlib mPM ; mhAC niQTOkAb KudiQgi mhAdeb KuruMb mhAdebgi lAIszd cxli;noun
6;seQdb mPM ;Pxt-hOdi, amox-akAI lYPM ; lAIniQ lAIsoNgi mtuQ INn asuMn TAjnY mdudi tMnrAIdi seQdb mPMsiQd lY;noun
7;arACp, lAClib, lAC-Ib, KoQdArib ;kriguMb mPM amd TuQlrb aoIb ; arACp misiQbu trAMn aoCU;adjective
8;poClb, tAIbzpANd KoQdArb ;tAIbz mpoC am lOrb ; poClb jibsiQdi sib hAIbsi  soIdr bni;adjective
9;miyAMgi yAIPnb TbC ;miyAMn yAb TbC ; miyAMgi yAIPnb TbC tObn KuNnAIbu cAUKxhLli;noun
10;hOb, coQKxlCp, TiNgxlCp ;pAMbin lYbACtgi mTCloMd INKxlCp ; BArxt hOb cA mpAL lMd mrAQ kAIn TAdoCI;adjective
11;Pxtb lMcx, Pxtb sAjx ;KuuNnAI amsuQ miyAMn yAdb lMcx aoIb ; Pxtb lMcxtgi lAFToCkdbni;noun
12;aPAU sAb, mi Usixtb, sC tAKxp, PutAni tOb ;msA mTNt poQjb ; sy AMgi pAbuQ pulist TbC tOI adun mhAC aPAU sAribni;noun
13;aox-nYb, miaox minY ;atoFpd akN-ariQ siQdun awAb pibgi TbC ; BArx mcAsiQd br itissiQn yAMn aox-nYb tOrMmi;noun
14;wAToC, wAToC-lANToC ;msAgi apAMbbu mniQ mKA tOn sijiNnbdgi ToClCp asoIb ; hOjiCki mtMddi loIsz KudiQmCt wAToC ToCtunt lY;noun
15;BitAmiN ;cAnb poxlMsiQd yAUb hCcAQd kANnb pib mcL am ; BitAmiNgi mKL truC lY;noun
16;aPb lMcx, aPb sAjx, PidMniQqAI aoIb lMcx, PidMniqAI aoIb lMcx, PidMniQqAI aoIb sAjx, PidMniqAI aoIb sAjx ;KuNnAI amsuQ miyAMn yAb lMcx ; aPb lMcxn miaoIbbu aToIb aoIhLli;noun
17;mniQ tOb mtO, pztO tOb mtO ;atoFpn pAMdr bsu msAgi apAMbgi mtuQ INn TbC tObgi maoQ ; mhACki mniQ tOb mtO mPM asid yAroI;noun
18;Pxtb TbC ;cxn-loNcxki wAQmd tYb TbC ; Pxtb midi mtM lYb KibiCt Pxtb TbCtd puCniQ luFtun lY;noun
19;hwAI-ceQwAI, hwAI ceQwAI, mru-mrAQ, mru mrAQ ;hwAInciQb pAMbi Krdgi Pzb cAb yAb mhY ; sy AM mru-mrAQ lLloNb misCni;noun
20;cAnb poxlM, acA- aTC, acA aTC ;mhi nxtr g mpz aoIb pox msin hCcAQd pAQgL pi amsuQ cAUb heNgxhLli ; KuQgzg cAQdMnbd yuMPALsiQddi cAnb-polMsiQ yAMn tAQqi;noun
21;KuxloIb wAxlb, Kux loIdr ib, Kux loIdb ;kriguMb TbC am tObd hYnb wAxlib aoIb ; KuxloIb wAxlb rAmu TbC Pzdr e;adjective
22;hYb wAxlib, hY-siQdr ib , hYToI-siQToIdr ib, niQTin hYtr ib, hYPAxtr ib ;Kzb-hYb yAUdr ib aoIb ; hYb wAxlib sANnroIsiQnsu yAMn Pjb KuxsANn Uxli;adjective
23;mtiC cAdb, hY-siQdb, cAndb ;kriguMb TbC amgidmC cAnb aoIdb ; TOpubn mtiC cAdb miaoIsiQbu luFtgi lOToClMmi;adjective
24;kY amoM ;mmA aoIb qMb kY ; mguN lYrb guru rAMdAski mbuC nAb Pnb gurugi mnAI sibAjin kY amoMgi szgoM purClMmi;noun
25;siNdMbdz qAIrib, tMKxlCpdz qAIrib ;kriguMb TbC ambu hYbdz qAIrib, KuxloIdr ib ; msigi TbC asi tMKxlCpdz qAIrib min PAUb tOb qMgni;adjective
26;jugox cAdb, nAtY cAdb ;TbC niQTin tOb hYtb ; nz jugox cAdb miguMn TbC tOrib krigino? ;adjective
27;apzb, lOsiQ wAxp, lOsiQ TeNb, gy AN wAxp, gy AN yAUdb ;siQdb ; apzb misiQg mrY yexnroIdbni;adjective
28;cxndr b, mtMg cundr b, sijiNndr b ;hOjiC mtMgi aoIdr b ; nhAC mtM lYb KibiCt cxndr b PijoLtmC sex-cArib krigino?;adjective
29;hYToI-siQToIb , hYTo IsiQToIb, hY -siQb, hY siQb, hY -siQb, hYb ;kriguMb TbC am tOb mtMd yAMn Pjn mAI pACn tOb aoIb ; arjuN liruQ-teN kAFpgi mhY-msiQd hYToI-siQToIb misC am aoIrMmi;adjective
30;aqMb, tOb qMb, mtiC cAb ;kriguMb am tOb qMbgi pAQgL nxtr g mtiC lYb ; TbCsigidmC aqMb mi am mru aoI;adjective
31;cAUKxp ;awAQb TACki wAKL KNb amsuQ acMb migi sAjx cxp ; toMb cAUKxp mini;adjective
32;aPb, puCceL cAUb, puCceN cAUb ;Pxtb aoIdb nxtr g licx-sAjx Pjb nxtr g mhACn tOTorCp KudiQ atoFpsiQgi kANngdb aoIb ; mAleM asid aPb migi awAxp lYte;adjective
33;sAhiQ cAb, mi cAb ;mibu mciNjAC aoIn cAb ; sAdANbn sAhiQ cAb kY amoM adubu mhACki pANdMPM seMlMmi;adjective
34;mru aoIb misC mApL ;mmAQqYgi mtMd niQTO-niTOreLgi sBAd lYrMb miToI-miheNb miaoI mApL ; kAlidAs asi bikr mAdixgi mru aoIb misC mApLgi mnuQd am aoIrMmi;noun
35;mmA-mpA lYjdr b, mmA mpA lYjdr b, knA lYjdr b, pitx-pAtxlb, pitx pAtxlb, pu-pAQ sudr b, pu pAQ sudr b, lMjA aoIrb ;mhACkidmCt yeQsiNbinb nxtr g yoCpi-TACpinb lYtr b ; sy AMn mmA mpA lYjdr b aqAQsiQbu yoCpi TACpibd mpuNsi leLlMmi;adjective
36;UpAI lYtr b, gti lYtr b, pAMbY lYtr b, qAClO lYtr b, toLl-tArb, toLl tArb, teQbAQ Pzdr b ;mhACkidmCt knA amt lYtr b ; sureNdr  IbuQqon UpAI lYtr b misiQgi mteQ pAQdunt lY;adjective
37;mpA lYtb ;knAguMb amgi apoCp mpA siKib nxtr g lYmiNndb aoIb ; mpA lYtb aqAQdi kri-kriguMb mtMd kqAUnY;adjective
38;pAMbY lYjdb, UpAI lYjdb, gti lYjdb, qAClO lYjdb ;kriguMb TbC am tOnbgi mteQ lYtb ; srkArn pAMbY lYjdb misiQgidmCt pAMbY pinnb hoxnri;adjective
39;NULL;NULL;NULL;NULL
40;lMhuI amoM ;mmA aoIb qMb lMhuI ; Umzd lMhuI amoM amn mcAbu szgoM piTCtun lYrMmi;noun
41;mteQ pAQbiniQqAI lYb, mteQ pAQbiniqAI lYb ;kriguMb am pAQToCpd mteQ pinb mi ; mteQ pAQbiniQqAI lYb misiQn atoFpgi mteQ pAQgdbni;adjective
42;mmA lYtb, mmA kAInKr b ;mmA siKr b aoIb ; seNjAU pAIb IbuQqodu aqAQ aoIriqYdgi hOn mmA lYtb misC hAIbdu aoIre;adjective
43;pAMbY mrAQ kAIn lYb ;kriguMb am pAQToCpd mteQ yAMn lYb aoIb ; pAMbY mrAQ kAIn lYb midi KuNnAIgi mteQ aoI;adjective
44;IkAIb-pib, IkAIb-nzhNb, coFhNb, coFPNb ;wAhY nxtr g TbCtun knAguMbgi nApL nxtr g miQcx hNThNb ; aYKoIn knAguMb amtbu IkAIb pib tOroIdbni;noun
45;lMcx nAIdb, lMcx kAMb, lMcx yAUdb ;KuNnAIn amdi miyAMn yAdb sAjx cxpgi maoQ ; lMcx nAIdbn mibu sA aoLhLli;noun
46;IkAI-KuMnb, wAQn-TAQgxp, Ijx tOb, by bhAr tOb ;ciNn nxtr g TbCn knAguMb ambu peLhNb nxtr g knAguMb amgi PibMbu KuNnAIgi awAQb TACt TAQgxp ; ImA IpAbu IkAI KuMngdbni;noun
47;lAI, sidb mpu, tAIbz mpu, lAIniQTO, KoyuM, teQbANb mpu, noQdMb, ciQqu, KoImoM, Isor, Isw r, BgbAN ;KudiQmCtgi heNb mPM puMnmCt lYb tAIbzpANbu seMbib mpu ; lAIn aYKoI puMnmCpu qACpi seNbi;noun
48;NULL;NULL;NULL;NULL
49;NULL;NULL;NULL;NULL
50;kOb ;mmiQg mri lYnb ; mmAQqYgi mtMd rGu kOb niQTO amn lYbAC qAClMmi;adjective
51;KzhOdn, ITA-TAjdn ;aoIrCkni ToClCkni hAIb KLludn ; aYKoIn yuMdgi heC TorCpg KzhOdn noQ cuTrClMmi;adverb
52;hoxndn ;kriguMb am tOdb ; hoxndn kriguMb TbC amt tOb aoIToCte;adverb
