1;null;null;null;null
2;अशुभ, नराम्रो, अमङ्गल, अमाङ्गलिक, अनिष्टसूचक, अरिष्ट;जुनचाहिँ राम्रो हुँदैन;  बिरालोले बाटो काट्नु अशुभ मानिन्छ;adjective
3;अप्रविष्ट, नपसेको;जो प्रविष्ट भएको छैन;  अप्रविष्ट अतिथिहरूलाई शीघ्र नै भित्र प्रवेश गर्न दिइयोस्;adjective
4;पवित्र स्थान, पुण्य भूमि, पुण्य-स्थल, पुण्य स्थल, चैत्य स्थान;त्यो स्थान जुनचाहिँ पवित्र मानिन्छ;  हिन्दूहरूको लागि काशी एउटा पवित्र स्थान हो;noun
5;null;null;null;null
6;null;null;null;null
7;आएका, समागत;जो आएको छ;  आगत व्यक्तिहरूको स्वागत गर;adjective
8;जन्मेको,जन्मिएको, उत्पन्न भएको;जो जन्मिएको छ;  जन्मिएका प्राणीको मृत्यु निश्चित छ;adjective
9;null;null;null;null
10;उत्पन्न, उत्पादित, पैदा-भएको;जसको उत्पत्ति भएको छ वा जुन चाहिं उम्रिएको छ;  भारतमा उत्पन्न भएको चिया अधिक मात्रामा विदेशहरूमा निर्यात गरिन्छ;adjective
11;दुश्चरित्रता,चरित्रहीनता;दुश्चरित्र भएको अवस्था वा भाव;  दुश्चरित्रताबाट बच्नुपर्छ;noun
12;घडघडो, घडघड्याँइ, ढिपी, लिँडे ढिपी;घडघडो हुने वा घडघडो भएको भाव;  श्यामका बाबु पुलिसमा छन त्यसैले ऊ यस्तो घडघड्याँइ देखाउँछ;noun
13;अत्याचार, अन्याय, थिचोमिचो, पेलाइ,;अरूसँग बलपूर्वक गरिने त्यो अनुचित व्यवहार जसले उसलाई धेरै कष्ट हुन्छ;  भारतीय जनतामाथि अङ्ग्रेजहरूले धेरै नै अत्याचार गरे;noun
14;भ्रष्टाचार,गडबडी, दुर्नीति;जानी-बुझी वा मनमोजी ढङ्गले उत्पन्न गरिने अथवा अपारङ्गतका कारणले हुने गडबडी;  आजभोलि प्रत्येक विभागमा केही न केही भ्रष्टाचार भइरहेको छ;noun
15;भिटामिन, विटामिन, खाद्योज, पोषिलो खानेकुरा;प्रायः खाद्य पदार्थमा पाइने एक प्रकारको पोषक तत्व;  भिटामिन छ प्रकारका हुन्छन्;noun
16;सच्चरित्रता, सच्चरितता;गतिलो चरित्र हुने अवस्था या भाव;  सच्चरित्रताले मनुष्यलाई महान्  बनाउँछ;noun
17;मनमानी, जथाभाबी;कसैले नचाहँदा नै आफ्नो इच्छानुसार कुनै काम आदि गर्नु या गराउने काम;  तिम्रो मनमानी यहाँ चल्दैन;noun
18;null;null;null;null
19;अन्न, अनाज, खाद्यान्न, धान्य, शस्य;बोटबाट उत्पन्न हुने दानो जुन खाने काममा आउँछ;  श्याम अन्नको व्यापारी हो;noun
20;खाद्य वस्तु, खाद्य पदार्थ, खाद्यवस्तु, खाद्यपदार्थ, आहार, खाद्य, भोज्य पदार्थ, आहार पदार्थ, अन्न, अर्क;खाने (या पिउने) काममा आउने  वस्तुजसद्वारा शरीरले ऊर्जा पाउँछ अनि  शारीरिक विकास हुन्छ;  गाउँको भन्दा  सहरमा खाद्य वस्तु निक्कै महँगो हुन्छ;noun
21;अनुभवहीन, काँचो, कच्चा, अल्हरे, स्वाँठ;जसमा अनुभवको कमी हुन्छ;  अनुभवहीन भएकाले रामुले नौकरी भेटेन / ऊ यस खेलमा अनुभवहीन छ;adjective
22;अप्रवीण, अनाडी, अकुशल, अदक्ष, अनिपुण, अधकचरा, अनाप्त, अनारी, अनैपुण, अपटु, अपाटव, अपात्र;जो प्रवीण होइन;  अप्रवीण खेलाडीले पनि  राम्रो खेल प्रदर्शन गर्यो;adjective
23;अयोग्य, अनुपयुक्त, नालायक, ना-लायक, अनलायक, अपारग, अप्रभु, अयथा, अयुक्त, अयुक्तरूप, अयोग;जो योग्य छैन;  प्रबन्धकले अयोग्य व्यक्तिलाई संस्थाबाट निकालिदिए;adjective
24;null;null;null;null
