1;जन्मं ऎटुक्कात्त, जनिक्कात्त, अवतरिक्कात्त, आगतमाकात्त;एतॊरुवनाणॊ जन्मं ऎटुत्तत् भगवान् जन्मं ऎटुक्कात्तताकुन्नु 
2;अशुभमाय, अशुभ;शुभं अल्लात्तत् पूच्च वट्टं चाटुन्नत् अशुभमाय कार्यमायि कणक्काक्कुन्नु 
3;प्रवेशिक्कात्त, कटन्नुवरात्त;ऒन्निलुं एर्प्पॆटात्त. प्रवेशिक्कात्त अतिथिकळॆ वेगं उळ्ळिल् प्रवेशिप्पिक्कू. 
4;पुण्यस्थलं, तीर्त्थस्थलं, परिशुद्धस्थलं;पवित्रमायि कणक्काक्कुन्न स्थलं काशि हिन्दुक्कळॆ संबन्धिच्चिटत्तोळं पुण्यस्थलं आकुन्नु 
5;शिव क्षेत्रं;शिव प्रतिष्ठ नटत्ति शिव पूज चॆय्युन्न आलयं. अवन् ऎल्ला तिङ्कळाऴ्चयुं शिवक्षेत्रत्तिल् पोकुं 
6;अशुद्धस्थलं, मलिनस्थलं;पवित्रमल्लात्त स्थलं मतपरमाय विश्वासमनुसरिच्च् भूतप्रेतादिकळ् अशुद्धमाय स्थलत्त् निवसिक्कुन्नु 
7;वन्नुचेर्न्न, आगमिच्च, ऎत्तिच्चेर्न्न, आगतराय, सन्निहितराय;वन्नयाळ्. वन्नुचेर्न्न व्यक्तिकळॆ स्वागतं चॆय्यू. 
8;जनिच्च, जन्ममॆटुत्त, भूजात;जनिच्चत् अल्लॆङ्किल् जन्मं ऎटुत्तत्. जनिच्च जीविकळुटॆ मरणं सुनिश्चितमाण् . 
9;सत्कर्म्मं;नीति युक्तमाय कर्म्मं सत् कर्म्मङ्ङळिलूटॆ मात्रमे नमुक्क् समूहत्तिन्ऱॆ उद्धारणं चॆय्युवान् कऴियुकयुळ्ळु 
10;उत्पादिप्पिक्कुन्न, उण्टाक्कुन्न;उत्भविच्च अल्लॆङ्किल् उदिच्च. भारतत्तिल् उत्पादिप्पिक्कुन्न तेयिलयुटॆ कूटुतल् अळवुं विदेशिकळ् नियन्त्रिक्कुन्नु. 
11;चीत्तस्वभावं, दुःस्वभावं;चीत्त स्वभावत्तोटुकूटिय अवस्थ अल्लॆङ्किल् भावं. चीत्त स्वभावङ्ङळिल् निन्न् माऱि निल्क्कयणं. 
12;धार्ष्ट्यं, गर्व्;धार्ष्ट्यं अल्लॆङ्किल् गर्व् काणिक्कुक श्यामिन्ऱॆ अच्छन् पोलीसिलायत् कॊण्टाण् अवन् इत्रयुं धार्ष्ट्यं काणिक्कुन्नत् 
13;अन्यायं, अक्रमं, उपद्रवं, द्रोहं, पीडनं;मऱ्ऱुळ्ळवरोट् बलमायि चॆय्युन्न अनुचितमाय पॆरुमाऱ्ऱं अतिल् अयाळ्क्क् धाराळं कष्टङ्ङळ् उण्टाकुन्नु. ब्रिट्टीषुकार् भारतीयरोट् ऒरुपाट् अन्यायं चॆय्तिट्टुण्ट्. 
