1;NULL;NULL;NULL;NULL
2;অশুভ, অমাংগলিক, অমঙ্গল, অহিত, অনিষ্ট, বিমংগল, বিমঙ্গল, অপায়-অমংগল;যিটো শুভ নহয়; মেকুৰীয়ে ৰাস্তা কাটিলে অশুভ বুলি ধৰা হয়;adjective
3;অনুপস্থিত, অপ্রবিষ্ট;যিজন প্রবিষ্ট হোৱা নাই; অনুপস্থিত অতিথিসকলক শীঘ্রে ভিতৰলৈ আহিবলৈ কোৱা হʼল;adjective
4;পৱিত্র স্থান, পুণ্য ভূমি, পুণ্য স্থল;যি স্থানক পৱিত্র বুলি গণ্য কৰা হয়; হিন্দু সকলৰ বাবে কাশী এক পৱিত্র স্থান;noun
6;অপৱিত্র স্থান, অপূণ্যভূমি, অপৱিত্র স্থলী;যি স্থান পৱিত্র নহয়; ধার্মিক মান্যতা আছে যে ভূত-প্রেত অপৱিত্র স্থানবোৰতেই থাকে;noun
7;সমাগত, আগত, হাজিৰ, উপাগত, উপস্থিত;যি আহি পাইছে; সমাগত লোকসকলক স্বাগতম জনাওক;adjective
8;জন্মা, জাত, উপজাত, প্রসূত, জনিত, প্রজাত, সংবৃত্ত, সঞ্জাত, সম্ভূত, উৎপন্ন;যি জন্ম হয়; জন্মাজনৰ মৃত্যু নিশ্চিত;adjective
9;নৈতিক কার্য, সৎকর্ম, ্ভাল কাম, সুকৃত্য, সুকর্ম;এনে কার্য যি নীতিসিদ্ধ হয়; নৈতিক কার্যৰ ্দ্বাৰাইহে আমি সমাজৰ উত্থান কৰিব পাৰো;noun
10;উৎপাদন, উৎপন্ন, ওপজা;যিহৰ  উৎপত্তি হৈছে; ভাৰতত উৎপাদন হোৱা বেছিভাগ চাহ বিদেশলৈ ৰপ্তানি কৰা হয়;adjective
11;চৰিত্রহীনতা, দুশ্চৰিত্রতা, দুৰাচাৰিতা, অনাচাৰিতা;দুশ্চৰিত্র হোৱাৰ ভাব বা অৱস্থা; চৰিত্রহীনতাৰ পৰা বাচি থকা উচিত;noun
12;উগ্রতা, উদ্ধততা, আকোৰগোজালি;আকোৰগোজ বা উগ্র হোৱাৰ ভাৱ; শ্যামৰ দেউতাক পুলিচত থকা বাবে বৰ উগ্রতা দেখায়;noun
