2;mzgoL aoIdb, dAU yAdb ;aPb aoIdb ; hOdoQn lMbi lMlANb asi mzgoL aoIdb TOdoCni hAIn lOnY;adjective
3;czlCtr ib, czqCtr ib, yOsiLlCtr ib ;kriguMb mPM amd KoQ TAQjiLlCp aoIdr ib ; mnuQd czlCtr ib atiTisiQ adu yAMn TunmC mnuQd czhLlClo;adjective
4;aseQb mPM ;miyAMn seQqi hAIn lOnb mPM ; hiNdusiQgidmCtdi kAsi asi aseQb mPM amni;noun
5;mhAdebgi lAIsz ;BgbAN sibgi mitM KiNdun IrAxlib mPM ; mhAC niQTOkAb KudiQgi mhAdeb KuruMb mhAdebgi lAIszd cxli;noun
6;seQdb mPM ;Pxt-hOdi, amox-akAI lYPM ; lAIniQ lAIsoNgi mtuQ INn asuMn TAjnY mdudi tMnrAIdi seQdb mPMsiQd lY;noun
7;arACp, lAClib, lAC-Ib, KoQdArib ;kriguMb mPM amd TuQlrb aoIb ; arACp misiQbu trAMn aoCU;adjective
8;poClb, tAIbzpANd KoQdArb ;tAIbz mpoC am lOrb ; poClb jibsiQdi sib hAIbsi  soIdr bni;adjective
9;miyAMgi yAIPnb TbC ;miyAMn yAb TbC ; miyAMgi yAIPnb TbC tObn KuNnAIbu cAUKxhLli;noun
10;hOb, coQKxlCp, TiNgxlCp ;pAMbin lYbACtgi mTCloMd INKxlCp ; BArxt hOb cA mpAL lMd mrAQ kAIn TAdoCI;adjective
11;Pxtb lMcx, Pxtb sAjx ;KuuNnAI amsuQ miyAMn yAdb lMcx aoIb ; Pxtb lMcxtgi lAFToCkdbni;noun
12;aPAU sAb, mi Usixtb, sC tAKxp, PutAni tOb ;msA mTNt poQjb ; sy AMgi pAbuQ pulist TbC tOI adun mhAC aPAU sAribni;noun
13;aox-nYb, miaox minY ;atoFpd akN-ariQ siQdun awAb pibgi TbC ; BArx mcAsiQd br itissiQn yAMn aox-nYb tOrMmi;noun
14;wAToC, wAToC-lANToC ;msAgi apAMbbu mniQ mKA tOn sijiNnbdgi ToClCp asoIb ; hOjiCki mtMddi loIsz KudiQmCt wAToC ToCtunt lY;noun
15;BitAmiN ;cAnb poxlMsiQd yAUb hCcAQd kANnb pib mcL am ; BitAmiNgi mKL truC lY;noun
16;aPb lMcx, aPb sAjx, PidMniQqAI aoIb lMcx, PidMniqAI aoIb lMcx, PidMniQqAI aoIb sAjx, PidMniqAI aoIb sAjx ;KuNnAI amsuQ miyAMn yAb lMcx ; aPb lMcxn miaoIbbu aToIb aoIhLli;noun
17;mniQ tOb mtO, pztO tOb mtO ;atoFpn pAMdr bsu msAgi apAMbgi mtuQ INn TbC tObgi maoQ ; mhACki mniQ tOb mtO mPM asid yAroI;noun
18;Pxtb TbC ;cxn-loNcxki wAQmd tYb TbC ; Pxtb midi mtM lYb KibiCt Pxtb TbCtd puCniQ luFtun lY;noun
19;hwAI-ceQwAI, hwAI ceQwAI, mru-mrAQ, mru mrAQ ;hwAInciQb pAMbi Krdgi Pzb cAb yAb mhY ; sy AM mru-mrAQ lLloNb misCni;noun
20;cAnb poxlM, acA- aTC, acA aTC ;mhi nxtr g mpz aoIb pox msin hCcAQd pAQgL pi amsuQ cAUb heNgxhLli ; KuQgzg cAQdMnbd yuMPALsiQddi cAnb-polMsiQ yAMn tAQqi;noun
21;KuxloIb wAxlb, Kux loIdr ib, Kux loIdb ;kriguMb TbC am tObd hYnb wAxlib aoIb ; KuxloIb wAxlb rAmu TbC Pzdr e;adjective
22;hYb wAxlib, hY-siQdr ib , hYToI-siQToIdr ib, niQTin hYtr ib, hYPAxtr ib ;Kzb-hYb yAUdr ib aoIb ; hYb wAxlib sANnroIsiQnsu yAMn Pjb KuxsANn Uxli;adjective
23;mtiC cAdb, hY-siQdb, cAndb ;kriguMb TbC amgidmC cAnb aoIdb ; TOpubn mtiC cAdb miaoIsiQbu luFtgi lOToClMmi;adjective
