1;NULL;NULLNULL 
2;अशुभ, अमांगलिक, अमङ्गल, अहित, अनिष्ट, बिमंगल, बिमङ्गल, अपाय़-अमंगल;यिटो शुभ नहय़ मेकुৰीय़े ৰास्ता काटिले अशुभ बुलि धৰा 
3;अनुपस्थित, अप्रबिष्ट;यिजन प्रबिष्ट होৱा अनुपस्थित अतिथिसकलक शीघ्रे भितৰलै आहिबलै कोৱा हʼल 
4;पৱित्र स्थान, पुण्य भूमि, पुण्य स्थल;यि स्थानक पৱित्र बुलि गण्य कৰा हिन्दु सकलৰ बाबे काशी पৱित्र स्थान 
5;NULL;NULLNULL 
6;अपৱित्र स्थान, अपूण्यभूमि, अपৱित्र स्थली;यि स्थान पৱित्र नहय़ धार्मिक मान्यता भूत-प्रेत अपৱित्र स्थानबोৰतेइ 
7;समागत, आगत, हाजिৰ, उपागत, उपस्थित;यि आहि पाइछे समागत लोकसकलक स्बागतम जनाओक 
8;जन्मा, जात, उपजात, प्रसूत, जनित, प्रजात, संबृत्त, सञ्जात, सम्भूत, उॎपन्न;यि जन्म जन्माजनৰ मृत्यु निश्चित 
9;नैतिक कार्य, सॎकर्म, ्भाल काम, सुकृत्य, सुकर्म;एने कार्य यि नीतिसिद्ध नैतिक कार्यৰ ्द्बाৰाइहे समाजৰ उत्थान कৰिब पाৰो 
10;उॎपादन, उॎपन्न, ओपजा;यिहৰ उॎपत्ति हैछे भाৰतत उॎपादन होৱा बेछिभाग चाह बिदेशलै ৰप्तानि कৰा 
11;चৰित्रहीनता, दुश्चৰित्रता, दुৰाचाৰिता, अनाचाৰिता;दुश्चৰित्र होৱाৰ भाब अৱस्था चৰित्रहीनताৰ पৰा बाचि थका 
12;उग्रता, उद्धतता, आकोৰगोजालि;आकोৰगोज उग्र होৱाৰ भाৱ श्यामৰ देउताक पुलिचत थका बाबे बৰ उग्रता देखाय़ 
13;अत्याचाৰ, अन्याय़, पीड़न, उॎपीड़न, निपीड़न, नि्र्यातन नि्र्य्यातन, उपद्रৱ, उॎपात, शोषण, निष्पेषण, अन्याय़-अत्याचाৰ, अत्याचाৰ-उॎपीड़न;आनৰ लगत बलपूर्ब््कभाৱे कৰा अनुचित ब्यৱहाৰ याৰ काৰणे तेओँৰ कष्ट इंৰाजे भाৰतीय़ जनताৰ ओपৰत अत्याचाৰ कৰिछिल 
14;गोलमाल, घोटाला, गण्डगोल, बिशृङ्खला, अब्यৱस्था, घमघण्ट;जानि-बुजि आकोৰगोज मनोभाबৰ पৰा जन्म होৱा अपटु काৰणत होৱा खेलिमेलि आजिकालि प्राय़बोৰ बिभागते किबा किबा नहय़ किबा गोलमाल थाकेइ 
15;भिटामिन, खाद्यप्राण, अन्नसाৰ;साधाৰणते खाद्यबस्तुत पोৱा योৱा एबिध पोषक तत्त्ब भिटामिन छय़ प्रकाৰৰ 
16;सॎचৰित्रता, सद्चৰित्रता, सदाचाৰिता, सदाचाৰ;भाल चৰित्रৰ सॎचৰित्रताइ मानुहक महान कৰे 
17;मइमतालि, स्बेच्छाचाৰ, स्बैৰाचाৰ, यथेच्छाৰिता;आने निबिचाৰिलेओ निजৰ इच्छानुसৰि कৰा कৰोৱा कार्य तोमाৰ मइमतालि इय़ात नचलिब 
18;दुष्कर्म, कुकर्म, ्पापकर्म, ्बेय़ा काम, अनैतिक कार्य, अपकर्म;एने कार्य यि नीति बिৰुद्ध असाधु ब्यक्ति सदाय़ दुष्कर्मतेइ लिप्त थके 
19;शस्य, अनाज;गुल्मजातीय़ उद्भिदৰ पৰा उॎपन्न होৱा बीज दाना यि खाद्य हिचापे ब्यৱहाৰ कৰा श्यामे शस्यৰ बेपाৰ कৰे 
20;खाद्यबस्तु, खाद्य बस्तु, खाद्य सामग्री, खोৱा बस्तु, अन्नबस्तु, खाद्य पदार्थ;खोৱा कामत ब्यৱहाৰ कৰा बस्तु यिय़े शৰीৰक शक्ति आৰु इय़ाৰ बिकाश घटाय़ गाँৱৰ तुलनात चहৰत खाद्यबस्तुৰ दाम बेछि 
21;अनुभৱहीन, ्केँच्ा चिन्ताधाৰा;अनुभৱ नथका चिन्ताৰ गभीৰता कम थका अनुभৱहीन होৱा काৰणे ৰामुৱे चाकৰिटो नापाले 
22;नबीन, तৰुण, नबागत, नतुन;यि प्रबीण नहय़ नबीन खेलुৱैसकलेओ भाल खेल प्रदर्शन कৰिछे 
23;अयोग्य, अनुपयुक्त, योग्यहीन, अनुपयोगी, अलाय़क, गड़लाय़क, जलधा;यिजन योग्य नहय़ प्रबन्धकगৰाकीय़े अयोग्य लोकसकलक संस्थाৰ पৰा उलिय़ाइ दिले 
24;बाघिनी, माइकी बाघ;बाघৰ माइकी जाति गुৰु ৰामदासৰ पेटৰ असुख भाल कৰिबलै भक्त शिৱाजीय़े बाघिनीৰ गाखीৰ आनिले / माइकी बाघৰ खं बेछि 
25;नशिकाৰु, नतुन, नतुन शिकाৰु, नৱ शिकाৰु, नतुनकै शिका, असिद्ध, अनभ्यस्त, अपৰिपक्क, अपैणत;यिजने एइमात्रहे शिकिछे कामटो मानुहेओ कৰिब पाৰे 
26;अलगर्ध;यि भाल धৰणे कৰाৰ ৰीति नाजाने ्अलगर्धৰ निचिनाकै किय़ कৰा? 
27;मूर्ख, बुर्बक, मूৰुख, बुद्धिहीन, अबोध, निर्बोध, भोदा, दगधा, गोटगৰु, अहम्मक;याৰ बुद्धि बुद्धि कम मूर्खइ ्अबाबत तर्क कৰे 
28;अप्रचलित, पुৰणिकलीय़ा, प्रचलनहीन, नचला, अब्यৱहृत, पुৰातन;यिटो प्रचलित नहय़ सदाय़ अप्रचलित साज-पोछाकेइ किय़ पिन्धा ? 
